dane,ExpectativasAcademicas,Comunicacion,Participacion,SeguridadRespeto
105001000001,6.80776,6.873938,6.593732,5.924251
105001000043,6.595106,6.925921,6.732923,6.462323
105001000108,7.973716,6.738742,6.802948,7.550952
105001000132,6.743816,6.452038,6.057034,6.476394
105001000141,6.714395,6.824818,6.199846,5.914897
105001000175,6.362101,6.726794,6.541719,6.232865
105001000205,6.417449,6.078681,6.058847,5.738282
105001000256,6.492316,6.328634,6.012159,6.011535
105001000353,6.630527,6.425573,5.92339,6.59668
105001000396,7.389651,7.341564,7.27492,6.879987
105001000418,6.800339,6.345958,6.665432,6.330618
105001000485,7.569025,7.378712,6.879441,7.155524
105001000566,6.579951,6.443022,6.299999,6.613061
105001000621,6.600599,6.392692,6.580298,6.145601
105001000795,6.992966,6.44499,6.318926,6.220466
105001000809,6.427268,6.309083,6.092968,5.925048
105001000841,7.484979,7.103238,6.62183,7.63874
105001000868,7.035963,7.029757,6.937768,6.45736
105001000876,7.044957,6.513691,6.436419,5.55261
105001000931,7.246591,6.678783,6.688673,6.964766
105001000981,6.953774,6.663773,6.769732,6.281049
105001000990,7.161782,6.819583,6.445238,6.732256
105001001023,7.05513,6.8782,6.815242,6.865403
105001001121,7.076617,6.494969,6.358085,6.27922
105001001155,7.709894,7.575311,7.096965,7.278015
105001001198,6.512747,6.216712,6.207535,6.605333
105001001236,6.849877,6.770169,6.421774,6.902032
105001001252,7.025192,7.142447,6.983117,6.258316
105001001279,6.1763,6.185161,6.056133,6.237589
105001001317,7.999194,7.730323,7.32498,7.7391
105001001368,6.308799,6.164272,5.848816,5.85556
105001001473,6.387435,6.266994,6.072145,6.114187
105001001490,6.889594,6.190056,6.538733,6.516447
105001001562,7.046182,6.422104,6.149772,6.526426
105001001635,6.761889,6.48082,6.546296,6.369308
105001001651,6.599158,6.066924,5.965522,5.650459
105001001660,6.932881,7.091993,6.636967,6.143663
105001001686,7.19817,6.784272,6.577175,6.479306
105001001791,6.912766,6.641017,6.219014,6.7243
105001001805,6.920962,7.065967,6.959401,6.166253
105001001848,7.242432,6.71657,6.462214,7.138964
105001001881,7.404916,7.242012,7.001382,7.072358
105001002003,7.56965,7.374723,6.956085,6.737867
105001002011,6.899065,6.328571,6.132606,5.896676
105001002020,7.068806,6.777143,6.600428,6.942262
105001002038,6.169485,5.686932,5.955549,5.580635
105001002071,6.903187,6.782331,6.916833,6.366788
105001002101,6.576753,6.4978,6.069828,6.386394
105001002119,6.793415,6.436774,6.17095,6.34353
105001002135,7.816733,7.521792,7.220929,7.119365
105001002305,7.370952,7.264172,7.284265,7.258533
105001002348,6.661976,6.678024,6.812097,6.319665
105001002356,8.015968,7.582258,7.122014,6.663608
105001002461,6.944183,6.599579,6.353237,6.918729
105001002470,6.636846,6.186231,6.301808,6.324267
105001002488,7.108318,7.079278,6.859869,6.433068
105001002496,7.048094,6.832429,6.861728,6.557517
105001002526,6.582134,6.390319,6.406173,6.031719
105001002780,6.356579,6.44778,5.662955,5.540994
105001002798,7.190284,7.126526,6.596913,7.169092
105001002895,7.042378,6.795866,6.599232,6.724524
