dane,tema_matematica,tema_lenguaje,prmat_alto_07_p,prlen_alto_07_p,tema_lenguaje_d,tema_matematica_d,prmat_alto_10_p,prlen_alto_10_p,Progresolen11,Progresomat11,aprobación5,aprobación9,rtextra,Progresolen5,Progresolen9,Progresomat5,Progresomat9,avanzado_m9,avanzado_m5,avanzado_l9,avanzado_l5
105001000001,40.82,47.14,0,0,50.4,42.42,0,0,86.30035,50.10484,.864,.8181818,.8484849,50.37714,,50.37714,,,0,,1
105001000043,,,,,,,,,,,.831579,.8253968,,27.69031,50.14516,51.99142,50.58065,0,2,0,2
105001000108,47.67,51.21,.5514706,.3676471,50.31,47.59,1.991701,.0829876,50,63.71774,,,.9767635,,,,,,,,
105001000132,44.48,49.19,0,0,47.275,45.16,1.282051,0,60.47611,55.95052,.85,.6086956,.9871795,35.42351,,29.53445,,0,13,2,4
105001000141,47.67,47.14,0,0,45.105,42.33,0,0,32.10753,35.33332,1,1,.9210526,60.98409,54.9974,38.91196,52.81104,0,3,0,7
105001000175,44.48,45.01,0,0,44.05,42.42,0,0,50.07902,52.55022,.7723391,.9152542,.7886178,50.25091,51.27511,50.37714,51.02009,0,4,0,4
105001000205,,,,,46.27,39.53,0,0,,,.8645833,.8414634,.8727273,50,,39.03519,,0,4,0,9
105001000256,47.67,47.14,2.439024,0,44.05,39.53,.5263158,0,10.08602,31.00545,.9590301,.9212924,.6789473,54.52889,,51.69579,,,2,,11
105001000353,44.48,47.14,0,0,46.27,42.42,0,0,60.89011,52.55022,.9545575,.9133372,.949495,41.63601,,38.27924,,1,7,1,15
105001000396,44.48,47.14,0,0,46.16,42.42,0,0,37.6129,52.55022,.9707317,.8934911,.7207792,56.81988,57.05645,44.87715,57.05645,0,5,0,9
105001000418,40.82,45.01,0,0,46.16,43.715,2,0,50.86917,50.16667,.9069768,.819209,.95,39.86132,56.0632,58.34931,31.86588,0,6,0,6
105001000485,47.67,47.14,0,0,46.27,47.59,1.226994,0,60.89011,63.71774,.976923,.7908497,.8773006,76.83761,72.81884,74.89516,72.81884,7,28,4,24
105001000566,44.48,47.14,0,0,43.93,45.16,0,0,3.204301,55.95052,.9369928,.9473684,.7352941,45.85112,68.75519,50,43.11828,0,9,6,9
105001000621,47.67,53.22,4.301075,0,52.38,52.66,1.149425,0,52.60793,85.27419,.9847328,.8417721,.9885057,,,,,,18,,24
105001000795,44.48,45.01,0,0,44.05,39.53,0,0,50.07902,31.33151,.975978,.9932432,.8785047,,52.3199,,55.56776,0,9,0,7
105001000809,44.48,47.14,0,0,46.16,40.93,0,0,37.6129,50.51004,,.9268293,.9848485,34.42844,,45.19495,,0,9,5,6
105001000841,53.2,55.25,6.410257,2.564103,50.31,50.14,2.325581,0,49.98387,49.99194,.9538462,.8881579,1,64.74244,,72.64423,,2,16,3,26
105001000868,40.82,45.01,0,0,43.93,42.33,0,0,42.5327,50.05107,.9642857,.9538462,.8405797,51.41257,26.48387,54.28402,26.48387,0,8,0,12
105001000876,44.48,47.14,0,0,46.27,42.33,0,0,60.89011,50.85007,.9591837,.8642857,.8018018,56.72604,51.85687,53.74805,50.47409,0,8,0,7
105001000931,44.48,49.19,.4219409,.4219409,46.27,47.59,1.408451,0,42.87234,56.63058,.9256757,.7849829,.9530516,,43.77668,,66.09131,0,10,0,18
105001000981,44.48,45.01,0,0,44.05,42.42,.3367003,0,50.07902,52.55022,.9327592,.7429578,.8080808,,55.7705,,16.68548,1,8,1,11
105001000990,44.48,47.14,0,0,46.27,42.33,0,0,60.89011,50.85007,.9886364,.9783784,.9130435,,62.80713,,51.28071,1,15,7,15
105001001023,47.67,49.19,0,0,44.05,42.42,0,0,26.12233,40.14207,.9770115,.9868421,.9850746,41.09042,,57.0612,,0,13,0,11
105001001121,44.48,49.19,0,0,46.16,42.42,0,0,33.25,52.55022,.9788733,.8,.9473684,,42.87234,,47.50532,1,11,1,11
105001001155,44.48,45.01,0,0,46.215,45.01,1.724138,0,51.81736,54.67541,.8852459,.8761062,.8793104,44.66644,26.0055,53.09793,45.05996,2,2,0,3
105001001198,44.48,47.14,0,0,46.27,45.01,0,0,60.89011,54.67541,.8780488,.8571429,.875,57.48404,,53.12337,,0,2,0,8
105001001236,40.82,47.14,0,0,46.27,42.42,2.325581,0,60.89011,50.10484,.8561151,.8513514,.8837209,62.73996,46.98526,59.07509,62.23036,0,10,0,12
105001001252,44.48,47.14,0,0,44.05,42.42,0,0,10.08602,52.55022,.948718,.8105263,.9230769,36.59131,55.95338,28.54492,43.90189,0,6,1,4
