iden1,dane1
1,105001000001
2,105001000043
3,105001000108
4,105001000132
5,105001000141
6,105001000175
7,105001000205
8,105001000256
9,105001000353
10,105001000396
11,105001000418
12,105001000485
13,105001000566
14,105001000621
15,105001000795
16,105001000809
17,105001000841
18,105001000868
19,105001000876
20,105001000931
21,105001000981
22,105001000990
23,105001001023
24,105001001121
25,105001001155
26,105001001198
27,105001001236
28,105001001252
29,105001001279
30,105001001317
31,105001001368
32,105001001473
33,105001001490
34,105001001562
35,105001001635
36,105001001651
37,105001001660
38,105001001686
39,105001001791
40,105001001805
41,105001001848
42,105001001881
43,105001002003
44,105001002011
45,105001002020
46,105001002038
47,105001002071
48,105001002101
49,105001002119
50,105001002135
51,105001002305
52,105001002348
53,105001002356
54,105001002461
55,105001002470
56,105001002488
57,105001002496
58,105001002526
59,105001002780
60,105001002798
61,105001002895
62,105001002976
63,105001003123
64,105001003131
65,105001003221
66,105001003271
67,105001003280
68,105001003298
69,105001003387
70,105001003425
71,105001003441
72,105001003450
73,105001004472
74,105001004791
75,105001005291
76,105001005339
77,105001005347
78,105001005380
79,105001005410
80,105001005495
81,105001005525
82,105001005878
83,105001006068
84,105001006092
85,105001006181
86,105001006246
87,105001006483
88,105001006718
89,105001006980
90,105001007111
91,105001007188
92,105001007218
93,105001007421
94,105001007439
95,105001007889
96,105001007978
97,105001008249
98,105001008389
99,105001008451
100,105001008486
101,105001009652
102,105001009695
103,105001009709
104,105001009865
105,105001010111
106,105001010367
107,105001010448
108,105001010588
109,105001010855
110,105001011011
111,105001011061
112,105001011070
113,105001011088
114,105001011363
115,105001011461
116,105001011606
117,105001011631
118,105001011690
119,105001011711
120,105001011886
121,105001012092
122,105001012106
123,105001012165
124,105001012696
125,105001012700
126,105001013013
127,105001013072
128,105001013145
129,105001013340
130,105001013439
131,105001013447
132,105001013633
133,105001014052
134,105001014397
135,105001014851
136,105001015091
137,105001015148
138,105001015172
139,105001015211
140,105001015229
141,105001015831
142,105001016420
143,105001017132
144,105001017876
145,105001017965
146,105001018759
147,105001019011
148,105001019062
149,105001019089
150,105001019143
151,105001019194
152,105001019305
153,105001019330
154,105001019429
155,105001019453
156,105001019534
157,105001019674
158,105001019798
159,105001019925
160,105001020028
161,105001020052
162,105001020273
163,105001021199
164,105001021547
165,105001021636
166,105001021873
167,105001022101
168,105001023965
169,105001024073
170,105001025763
171,105001025771
172,105001025780
173,105001025798
174,105001025984
175,105001025992
176,105001026000
177,105001026131
178,205001001389
179,205001001672
180,205001001966
181,205001002199
182,205001002768
183,205001006119
184,205001006224
185,205001006232
186,205001006526
187,205001007735
188,205001009797
189,205001009916
190,205001010264
191,205001010281
192,205001011031
193,205001012534
194,205001014308
195,205001018745
196,205001019318
197,105001025844
198,205001019989
199,205001021452
200,305001004854
201,305001007594
202,305001015287
203,305001015686
204,305001016542
205,305001018022
206,305001018839
207,305001019690
208,305001022232
209,305001022640
