dane,nombre,tema_matematica,tema_lenguaje,año_indicador,prmat_bajo_07,prmat_medio_07,prmat_alto_07,prlen_bajo_07,prlen_medio_07,prlen_alto_07,prmat_bajo_07_p,prmat_medio_07_p,prmat_alto_07_p,prlen_bajo_07_p,prlen_medio_07_p,prlen_alto_07_p,tema_lenguaje_d,tema_matematica_d,prmat_bajo_10,prmat_medio_10,prmat_alto_10,prlen_bajo_10,prlen_medio_10,prlen_alto_10,prmat_bajo_10_p,prmat_medio_10_p,prmat_alto_10_p,prlen_bajo_10_p,prlen_medio_10_p,prlen_alto_10_p,Progresolen11,Progresomat11,aprobación5,aprobación9,aprobación11a,aprobación11t,Extraedad,textra,rtextra,categoria_10,categoria_07,varcolegios11,Progresolen5,Progresolen9,Progresomat5,Progresomat9,rango1_l5r,rango2_l5r,rango3_l5r,rango4_l5r,rango5_l5r,rango6_l5r,rango1_m5r,rango2_m5r,rango3_m5r,rango4_m5r,rango5_m5r,rango6_m5r,rango1_l9r,rango2_l9r,rango3_l9r,rango4_l9r,rango5_l9r,rango6_l9r,rango1_m9r,rango2_m9r,rango3_m9r,rango4_m9r,rango5_m9r,rango6_m9r,insuficiente_m9,minimo_m9,satisfactorio_m9,avanzado_m9,insuficiente_m5,minimo_m5,satisfactorio_m5,avanzado_m5,insuficiente_l9,minimo_l9,satisfactorio_l9,avanzado_l9,insuficiente_l5,minimo_l5,satisfactorio_l5,avanzado_l5,bonus_matematica11,bonus_lenguaje11,bonus_total11,bonus_matematica5,bonus_lenguaje5,bonus_total5
105001000001,"INST EDUC JOSE MARIA VELAZ",40.82,47.14,2011,.08,.92,0,0,1,0,8,92,0,0,100,0,50.4,42.42,.0909091,.9090909,0,0,1,0,9.090909,90.9091,0,0,100,0,86.30035,50.10484,.864,.8181818,.8571429,,5,.1515152,.8484849,"Medio","Medio",0,50.37714,,50.37714,,18,26,33,18,4,1,50,14,17,13,6,0,,,,,,,,,,,,,,,,,50,31,19,0,,,,,18,59,22,1,3,2,5,2,2,4
105001000043,"INST EDUC BARRIO SANTA CRUZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.831579,.8253968,,,,,,,,,27.69031,50.14516,51.99142,50.58065,35,24,12,16,12,2,35,18,20,14,10,2,39,30,24,7,0,0,48,37,15,0,0,0,48,52,0,0,35,38,24,2,39,54,7,0,35,36,28,2,2,1,3,1,1,2
105001000108,"INST EDUC CEFA",47.67,51.21,2011,.0266544,.9678309,.0055147,.0027574,.9935662,.0036765,2.665441,96.78309,.5514706,.2757353,99.35661,.3676471,50.31,47.59,.0439834,.9360996,.019917,.006639,.9925311,.0008299,4.39834,93.60996,1.991701,.6639004,99.25311,.0829876,50,63.71774,,,1,.970965,28,.0232365,.9767635,"Alto","Alto",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105001000132,"INST EDUC JOSE MARIA BERNAL",44.48,49.19,2011,.08,.92,0,0,1,0,8,92,0,0,100,0,47.275,45.16,.025641,.9615384,.0128205,0,1,0,2.564103,96.15385,1.282051,0,100,0,60.47611,55.95052,.85,.6086956,.9605263,,1,.0128205,.9871795,"Alto","Alto",0,35.42351,,29.53445,,23,26,15,17,15,4,46,15,10,15,2,13,14,27,15,33,10,2,15,31,35,19,0,0,15,66,19,0,46,25,17,13,14,42,43,2,23,41,32,4,,,,,,
105001000141,"INST EDUC CAMILO TORRES RESTREPO",47.67,47.14,2011,.0277778,.9722222,0,.0277778,.9722222,0,2.777778,97.22222,0,2.777778,97.22222,0,45.105,42.33,.131579,.8684211,0,0,1,0,13.1579,86.84211,0,0,100,0,32.10753,35.33332,1,1,1,,3,.0789474,.9210526,"Bajo","Medio",-1,60.98409,54.9974,38.91196,52.81104,3,14,31,28,17,7,35,14,31,14,3,3,11,29,32,18,11,0,18,32,29,7,14,0,18,61,21,0,35,45,17,3,11,61,29,0,3,45,45,7,,,,,,
105001000175,"INST EDUC GABRIEL RESTREPO MORENO",44.48,45.01,2011,.0151515,.9848485,0,.030303,.969697,0,1.515152,98.48485,0,3.030303,96.9697,0,44.05,42.42,.0569106,.9430894,0,.0162602,.9837399,0,5.691057,94.30894,0,1.626016,98.37399,0,50.07902,52.55022,.7723391,.9152542,.9108911,,26,.2113821,.7886178,"Bajo","Bajo",0,50.25091,51.27511,50.37714,51.02009,18,24,29,14,12,4,45,18,19,8,7,4,27,23,30,17,3,0,33,25,24,17,1,0,33,49,18,0,45,37,15,4,27,53,20,0,18,53,26,4,1,1,2,1,1,2
105001000205,"INST EDUC SAN AGUSTIN",,,,,,,,,,,,,,,,46.27,39.53,.0909091,.9090909,0,0,1,0,9.090909,90.9091,0,0,100,0,,,.8645833,.8414634,1,,7,.1272727,.8727273,"Medio",,,50,,39.03519,,22,29,24,10,7,9,36,21,21,13,5,4,12,21,40,21,7,0,39,39,14,7,2,0,39,53,9,0,36,42,18,4,12,61,28,0,22,53,17,9,1,1,2,2,1,3
105001000256,"INST EDUC HECTOR ABAD GOMEZ",47.67,47.14,2011,0,.9756098,.0243902,0,1,0,0,97.56097,2.439024,0,100,0,44.05,39.53,.1421053,.8526316,.0052632,.0315789,.968421,0,14.21053,85.26315,.5263158,3.157895,96.8421,0,10.08602,31.00545,.9590301,.9212924,.9464286,,61,.3210526,.6789473,"Bajo","Medio",-1,54.52889,,51.69579,,18,25,21,15,10,11,45,29,10,12,2,2,,,,,,,,,,,,,,,,,45,39,14,2,,,,,18,46,25,11,2,1,3,2,2,4
105001000353,"INST EDUC JUAN DE LA CRUZ POSADA",44.48,47.14,2011,.0263158,.9736842,0,0,1,0,2.631579,97.36842,0,0,100,0,46.27,42.42,.0606061,.9393939,0,.010101,.989899,0,6.060606,93.93939,0,1.010101,98.9899,0,60.89011,52.55022,.9545575,.9133372,.9789473,,5,.050505,.949495,"Medio","Medio",0,41.63601,,38.27924,,17,22,20,15,12,15,32,20,15,13,13,7,14,22,27,26,11,1,28,33,20,13,4,1,28,53,17,1,32,35,26,7,14,49,37,1,17,42,27,15,,,,,,
105001000396,"INST EDUC JOSE ACEVEDO Y GOMEZ",44.48,47.14,2011,.0168067,.9831933,0,.0084034,.9915966,0,1.680672,98.31933,0,.8403362,99.15966,0,46.16,42.42,.0974026,.9025974,0,0,1,0,9.740259,90.25974,0,0,100,0,37.6129,52.55022,.9707317,.8934911,,.9814815,43,.2792208,.7207792,"Medio","Medio",0,56.81988,57.05645,44.87715,57.05645,14,20,25,22,11,9,38,22,20,9,6,5,20,20,20,24,17,0,15,33,35,14,3,0,15,68,17,0,38,42,15,5,20,40,41,0,14,45,33,9,2,3,5,1,1,2
105001000418,"INST EDUC LA MILAGROSA",40.82,45.01,2011,.0238095,.9761904,0,.0119048,.9880952,0,2.380952,97.61904,0,1.190476,98.80952,0,46.16,43.715,.06,.92,.02,.01,.99,0,6,92,2,1,99,0,50.86917,50.16667,.9069768,.819209,.9074074,.9245283,5,.05,.95,"Medio","Bajo",1,39.86132,56.0632,58.34931,31.86588,23,23,20,16,14,6,29,16,18,17,15,6,10,19,29,35,8,0,15,32,33,16,4,0,15,65,20,0,29,34,32,6,10,48,43,0,23,43,30,6,2,1,3,1,2,3
105001000485,"INST EDUC LA SALLE DE CAMPOAMOR",47.67,47.14,2011,.0122699,.9877301,0,.0122699,.9877301,0,1.226994,98.77301,0,1.226994,98.77301,0,46.27,47.59,.0429448,.9447853,.0122699,.0122699,.9877301,0,4.294478,94.47853,1.226994,1.226994,98.77301,0,60.89011,63.71774,.976923,.7908497,.9577465,.9666666,20,.1226994,.8773006,"Medio","Medio",0,76.83761,72.81884,74.89516,72.81884,4,9,15,21,27,24,15,7,15,19,16,28,5,10,26,37,18,4,2,26,27,32,5,7,2,53,37,7,15,22,35,28,5,36,55,4,4,24,48,24,,,,,,
105001000566,"INST EDUC CARACAS",44.48,47.14,2011,.0119048,.9880952,0,.0119048,.9880952,0,1.190476,98.80952,0,1.190476,98.80952,0,43.93,45.16,.0441176,.9558824,0,.0147059,.9852941,0,4.411765,95.58823,0,1.470588,98.52941,0,3.204301,55.95052,.9369928,.9473684,1,,18,.2647059,.7352941,"Medio","Medio",0,45.85112,68.75519,50,43.11828,12,23,32,19,5,9,47,16,18,7,4,9,2,20,34,30,8,6,6,31,41,22,0,0,6,72,22,0,47,34,11,9,2,54,38,6,12,55,24,9,2,1,3,2,2,4
105001000621,"INST EDUC ESCUELA NORMAL SUPERIOR DE MEDELLIN",47.67,53.22,2011,0,.9569892,.0430108,0,1,0,0,95.69892,4.301075,0,100,0,52.38,52.66,0,.9885057,.0114943,0,1,0,0,98.85057,1.149425,0,100,0,52.60793,85.27419,.9847328,.8417721,.9225352,,1,.0114943,.9885057,"Superior","Superior",0,,,,,3,15,21,21,16,24,23,18,20,15,8,18,,,,,,,,,,,,,,,,,23,38,23,18,,,,,3,36,37,24,2,3,5,2,3,5
105001000795,"INST EDUC ALFREDO COCK ARANGO",44.48,45.01,2011,.0392157,.9607843,0,.0326797,.9673203,0,3.921569,96.07843,0,3.267974,96.73203,0,44.05,39.53,.1214953,.8785047,0,.0093458,.9906542,0,12.14953,87.85047,0,.9345794,99.06542,0,50.07902,31.33151,.975978,.9932432,1,1,13,.1214953,.8785047,"Bajo","Bajo",0,,52.3199,,55.56776,16,28,24,17,7,7,30,22,15,17,7,9,16,23,33,26,2,0,30,39,27,4,1,0,30,66,5,0,30,37,24,9,16,56,28,0,16,52,24,7,,,,,,
105001000809,"INST EDUC PERPETUO SOCORRO",44.48,47.14,2011,.0285714,.9714286,0,0,1,0,2.857143,97.14286,0,0,100,0,46.16,40.93,.1212121,.8787879,0,.0151515,.9848485,0,12.12121,87.87878,0,1.515152,98.48485,0,37.6129,50.51004,,.9268293,,.984375,1,.0151515,.9848485,"Bajo","Medio",-1,34.42844,,45.19495,,21,26,23,13,11,6,32,15,23,13,8,9,2,25,21,41,7,5,27,27,32,11,2,0,27,59,13,0,32,38,21,9,2,46,48,5,21,49,24,6,2,2,4,1,1,2
105001000841,"INST EDUC JESUS MARIA   EL ROSAL",53.2,55.25,2011,0,.9358974,.0641026,0,.974359,.025641,0,93.58974,6.410257,0,97.4359,2.564103,50.31,50.14,.0232558,.9534883,.0232558,0,1,0,2.325581,95.34883,2.325581,0,100,0,49.98387,49.99194,.9538462,.8881579,.902439,,0,0,1,"Superior","Muy superior",-1,64.74244,,72.64423,,0,16,26,13,19,26,3,13,28,34,6,16,2,3,11,54,28,3,5,14,32,42,6,2,5,46,48,2,3,41,40,16,2,14,82,3,0,42,32,26,,,,,,
105001000868,"INST EDUC REPUBLICA DE VENEZUELA",40.82,45.01,2011,.0909091,.9090909,0,0,1,0,9.090909,90.9091,0,0,100,0,43.93,42.33,.057971,.942029,0,.0144928,.9855072,0,5.797101,94.2029,0,1.449275,98.55073,0,42.5327,50.05107,.9642857,.9538462,.9857143,,11,.1594203,.8405797,"Bajo","Bajo",0,51.41257,26.48387,54.28402,26.48387,13,20,25,18,12,12,23,26,21,18,3,8,44,28,21,8,0,0,51,44,3,3,0,0,51,47,3,0,23,47,21,8,44,49,8,0,13,45,30,12,2,1,3,2,1,3
105001000876,"INST EDUC JAVIERA LONDOÑO-SEVILLA",44.48,47.14,2011,.0183486,.9724771,0,.0091743,.9908257,0,1.834862,97.24771,0,.9174312,99.08257,0,46.27,42.33,.1081081,.8918919,0,.018018,.981982,0,10.81081,89.18919,0,1.801802,98.1982,0,60.89011,50.85007,.9591837,.8642857,1,,22,.1981982,.8018018,"Medio","Bajo",1,56.72604,51.85687,53.74805,50.47409,17,12,29,20,16,7,37,26,11,13,6,8,10,21,27,31,12,0,23,38,22,15,2,0,23,60,17,0,37,37,19,8,10,48,43,0,17,41,36,7,2,1,3,1,1,2
105001000931,"INST EDUC DIEGO ECHAVARRIA MISAS",44.48,49.19,2011,.021097,.9746835,.0042194,.0126582,.9831223,.0042194,2.109705,97.46835,.4219409,1.265823,98.31223,.4219409,46.27,47.59,.0469484,.9389671,.0140845,.0187793,.9812207,0,4.694836,93.89671,1.408451,1.877934,98.12206,0,42.87234,56.63058,.9256757,.7849829,.9726027,,10,.0469484,.9530516,"Medio","Alto",-1,,43.77668,,66.09131,3,7,21,26,24,18,14,20,23,17,16,10,16,21,30,28,6,0,17,36,32,11,4,0,17,68,15,0,14,43,33,10,16,51,34,0,3,28,50,18,,,,,,
105001000981,"INST EDUC GILBERTO ALZATE AVENDAÑO",44.48,45.01,2011,.0243902,.9756098,0,.0091463,.9908537,0,2.439024,97.56097,0,.9146341,99.08537,0,44.05,42.42,.1043771,.8922559,.003367,.013468,.986532,0,10.43771,89.22559,.3367003,1.346801,98.6532,0,50.07902,52.55022,.9327592,.7429578,.6176471,.8903226,57,.1919192,.8080808,"Medio","Bajo",1,,55.7705,,16.68548,6,20,28,25,10,11,31,23,21,8,9,8,13,23,30,27,6,1,20,40,27,11,1,1,20,67,12,1,31,44,17,8,13,53,33,1,6,48,35,11,2,2,4,1,2,3
105001000990,"INST EDUC GONZALO RESTREPO JARAMILLO",44.48,47.14,2011,.0154639,.9845361,0,.0103093,.9896907,0,1.546392,98.45361,0,1.030928,98.96907,0,46.27,42.33,.1242236,.8757764,0,0,1,0,12.42236,87.57764,0,0,100,0,60.89011,50.85007,.9886364,.9783784,.952381,1,14,.0869565,.9130435,"Medio","Medio",0,,62.80713,,51.28071,7,11,25,25,18,15,22,24,20,15,4,15,9,15,29,23,18,7,15,31,43,8,2,1,15,74,10,1,22,44,19,15,9,44,41,7,7,36,43,15,1,1,2,2,3,5
