dane,nombre
105001000001,"INST EDUC JOSE MARIA VELAZ"
105001000043,"INST EDUC BARRIO SANTA CRUZ"
105001000108,"INST EDUC CEFA"
105001000132,"INST EDUC JOSE MARIA BERNAL"
105001000141,"INST EDUC CAMILO TORRES RESTREPO"
105001000175,"INST EDUC GABRIEL RESTREPO MORENO"
105001000205,"INST EDUC SAN AGUSTIN"
105001000256,"INST EDUC HECTOR ABAD GOMEZ"
105001000353,"INST EDUC JUAN DE LA CRUZ POSADA"
105001000396,"INST EDUC JOSE ACEVEDO Y GOMEZ"
105001000418,"INST EDUC LA MILAGROSA"
105001000485,"INST EDUC LA SALLE DE CAMPOAMOR"
105001000566,"INST EDUC CARACAS"
105001000621,"INST EDUC ESCUELA NORMAL SUPERIOR DE MEDELLIN"
105001000795,"INST EDUC ALFREDO COCK ARANGO"
105001000809,"INST EDUC PERPETUO SOCORRO"
105001000841,"INST EDUC JESUS MARIA   EL ROSAL"
105001000868,"INST EDUC REPUBLICA DE VENEZUELA"
105001000876,"INST EDUC JAVIERA LONDOÑO-SEVILLA"
105001000931,"INST EDUC DIEGO ECHAVARRIA MISAS"
105001000981,"INST EDUC GILBERTO ALZATE AVENDAÑO"
105001000990,"INST EDUC GONZALO RESTREPO JARAMILLO"
105001001023,"INST EDUC ANTONIO RICAURTE"
105001001121,"INST EDUC JOSE ROBERTO VASQUEZ"
105001001155,"INST EDUC SAN JUAN BAUTISTA DE LA SALLE"
105001001198,"INST  EDUC AURES"
105001001236,"INST EDUC REPUBLICA DE BARBADOS"
105001001252,"INST EDUC CRISTOBAL COLON"
105001001279,"INST EDUC CIRO MENDIA"
105001001317,"INST EDUC MADRE MARIA MAZARELLO"
105001001368,"INST EDUC ALVARO MARIN VELASCO"
105001001473,"INST EDUC MANUELA BELTRAN"
105001001490,"INST EDUC LOLA GONZALEZ"
105001001562,"INST EDUC JAVIERA LONDOÑO"
105001001635,"INST EDUC YERMO Y PARRES"
105001001651,"INST EDUC JOSE CELESTINO MUTIS"
